小韻次序,小韻,字次序,字,釋,IPA
1,東,1,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,tuŋ
1,東,2,菄,東風菜義見上注俗加艹,tuŋ
1,東,3,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,tuŋ
1,東,4,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,tuŋ
1,東,5,𠍀,儱倲儜劣皃出字諟,tuŋ
1,東,6,倲,上同（𠍀‧儱倲儜劣皃出字諟）,tuŋ
1,東,7,𩜍,地理志云東郡館名,tuŋ
1,東,8,𢘐,古文（𩜍‧地理志云東郡館名）見道經,tuŋ
1,東,9,涷,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,tuŋ
1,東,10,蝀,螮蝀虹也又音董,tuŋ
1,東,11,凍,凍凌又都貢切,tuŋ
1,東,12,鯟,魚名似鯉,tuŋ
1,東,13,𢔅,行皃,tuŋ
1,東,14,崠,崠如山名,tuŋ
1,東,15,埬,上埬地名,tuŋ
1,東,16,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,tuŋ
1,東,17,䰤,醜皃,tuŋ
2,同,1,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,duŋ
2,同,2,仝,古文（同‧齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五）出道書,duŋ
2,同,3,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,duŋ
2,同,4,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,duŋ
2,同,5,銅,金之一品,duŋ
2,同,6,桐,木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷,duŋ
2,同,7,峒,崆峒山名,duŋ
2,同,8,硐,磨也,duŋ
2,同,9,𦨴,𦨴舩,duŋ
2,同,10,𧱁,獸似豕出泰山,duŋ
2,同,11,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,duŋ
2,同,12,瞳,目瞳,duŋ
2,同,13,㼧,㼧瓦,duŋ
2,同,14,𤭁,上同（㼧‧㼧瓦）,duŋ
2,同,15,罿,車上網又音衝,duŋ
2,同,16,犝,犝牛無角,duŋ
2,同,17,筩,竹筩,duŋ
2,同,18,潼,水名出廣漢郡亦關名又通衝二音,duŋ
2,同,19,曈,曈曨日欲明也又他孔切,duŋ
2,同,20,洞,洪洞縣名在晉州北又徒弄切,duŋ
2,同,21,侗,楊子法言云倥侗顓蒙,duŋ
2,同,22,橦,木名花可爲布出字書又鍾幢二音,duŋ
2,同,23,烔,熱氣烔烔出字林,duŋ
2,同,24,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記,duŋ
2,同,25,挏,引也漢官名有挏馬又音動,duŋ
2,同,26,酮,馬酪又音動,duŋ
2,同,27,鮦,爾雅云鰹大鮦又直冡直栁二切,duŋ
2,同,28,㼿,井甓一云甃也,duŋ
2,同,29,𦏆,無角羊,duŋ
2,同,30,𦍻,上同（𦏆‧無角羊）,duŋ
2,同,31,眮,目眶又徒揔切,duŋ
2,同,32,蕫,草名又多動切,duŋ
2,同,33,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重,duŋ
2,同,34,衕,通街也,duŋ
2,同,35,𩍅,靫具飾也,duŋ
2,同,36,𢈉,地下應聲,duŋ
2,同,37,䆚,通䆚也,duŋ
2,同,38,哃,哃𠹔大言,duŋ
2,同,39,𢏕,弓飾,duŋ
2,同,40,絧,布名,duŋ
2,同,41,𨚯,郷名,duŋ
2,同,42,𨝯,地名又姓,duŋ
2,同,43,𪔝,鼓聲,duŋ
2,同,44,𩦶,黑虎,duŋ
2,同,45,𪒿,黑皃,duŋ
3,中,1,中,平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,ʈiuŋ
3,中,2,衷,善也正也適也中也又衷衣褻衣也,ʈiuŋ
3,中,3,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,ʈiuŋ
3,中,4,𦬕,草名又音沖,ʈiuŋ
4,蟲,1,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲[進/達]直弓切七,ɖiuŋ
4,蟲,2,沖,和也深也,ɖiuŋ
4,蟲,3,种,稚也或作沖亦姓後漢司徒河南种暠,ɖiuŋ
4,蟲,4,盅,器虛也又敕中切,ɖiuŋ
4,蟲,5,爞,爾雅云爞爞炎炎熏也,ɖiuŋ
4,蟲,6,𦬕,草名又音中,ɖiuŋ
4,蟲,7,翀,直上飛也,ɖiuŋ
5,終,1,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,tɕiuŋ
5,終,2,衆,又之仲切,tɕiuŋ
5,終,3,潨,小水入大水又徂紅在冬二切,tɕiuŋ
5,終,4,𣧩,殁也,tɕiuŋ
5,終,5,螽,螽斯蟲也,tɕiuŋ
5,終,6,𧑄,上同（螽‧螽斯蟲也）,tɕiuŋ
5,終,7,鼨,豹文䑕也,tɕiuŋ
5,終,8,蔠,蔠葵蘩露也,tɕiuŋ
5,終,9,柊,木名又齊人謂椎爲柊楑也,tɕiuŋ
5,終,10,𩅧,小雨,tɕiuŋ
5,終,11,䶱,字書云龜名也,tɕiuŋ
5,終,12,鴤,鳥名,tɕiuŋ
5,終,13,䈺,篋䈺戎人呼之,tɕiuŋ
5,終,14,泈,水名在襄陽,tɕiuŋ
5,終,15,䝦,獸如豹,tɕiuŋ
6,忡,1,忡,憂也敕中切三,ʈʰiuŋ
6,忡,2,浺,浺瀜水平逺之皃又音蟲,ʈʰiuŋ
6,忡,3,盅,器虚也又音蟲,ʈʰiuŋ
7,崇,1,崇,高也敬也就也聚也又姓鋤弓切四,dʒiuŋ
7,崇,2,崈,上同（崇‧高也敬也就也聚也又姓鋤弓切四）,dʒiuŋ
7,崇,3,㓽,鍤屬,dʒiuŋ
7,崇,4,𩞉,饞𩞉貪食也出古今字音,dʒiuŋ
8,嵩,1,嵩,山髙也又山名又姓史記有嵩極玄子或作崧息弓切九,siuŋ
8,嵩,2,崧,上同（嵩‧山髙也又山名又姓史記有嵩極玄子或作崧息弓切九）,siuŋ
8,嵩,3,𪀚,似鷹而小能捕雀也,siuŋ
8,嵩,4,娀,有娀氏女𥳑狄帝嚳次妃吞乙卵生契,siuŋ
8,嵩,5,菘,菜名,siuŋ
8,嵩,6,硹,地名在遼,siuŋ
8,嵩,7,㣝,姓也,siuŋ
8,嵩,8,𧊕,蟲名,siuŋ
8,嵩,9,𨱿,細毛,siuŋ
9,戎,1,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,ȵiuŋ
9,戎,2,𢦦,上同（戎‧戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九）,ȵiuŋ
9,戎,3,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,ȵiuŋ
9,戎,4,㭜,木名,ȵiuŋ
9,戎,5,駥,馬八尺也,ȵiuŋ
9,戎,6,𥬪,小竹可爲矢,ȵiuŋ
9,戎,7,𠈋,𠈋人身有三角也,ȵiuŋ
9,戎,8,狨,細布,ȵiuŋ
9,戎,9,絨,上同（狨‧細布）,ȵiuŋ
10,弓,1,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也丗本曰黃帝臣揮作弓墨子曰羿作弓孫子曰[傜/倕]作弓又姓魯大夫叔弓之後居戎切六,kiuŋ
10,弓,2,躳,身也親也又姓出姓苑,kiuŋ
10,弓,3,躬,上同（躳‧身也親也又姓出姓苑）,kiuŋ
10,弓,4,㴦,縣名在酒泉,kiuŋ
10,弓,5,宮,白虎通曰黃帝作宫室以避寒暑宫之言中也丗本曰禹作宫亦官名漢書曰少府官有守宫令主御筆墨紙封書泥也又姓左傳虞有宫之奇,kiuŋ
10,弓,6,匑,謹敬之皃又音穹,kiuŋ
11,融,1,融,和也朗也說文曰炊气上出也又姓丗本云古天子祝融之後以戎切四,jiuŋ
11,融,2,肜,祭名又敕林切,jiuŋ
11,融,3,瀜,沖瀜大水皃,jiuŋ
12,雄,1,雄,雄雌也亦姓舜友有雄陶羽弓切二,ɦiuŋ
12,雄,2,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊冝僚又漢複姓左傳楚大夫熊率且比,ɦiuŋ
13,瞢,1,瞢,目不明莫中切六,miuŋ
13,瞢,2,夢,說文曰不明也又武仲切,miuŋ
13,瞢,3,𨞯,邑名在[魯/曹]郡,miuŋ
13,瞢,4,懜,慙也國語云君使臣懜,miuŋ
13,瞢,5,𦫰,𦫰𦫰醜皃,miuŋ
13,瞢,6,𧲎,獸似豕目在耳出崐崘,miuŋ
14,穹,1,穹,髙也去宫切七,kʰiuŋ
14,穹,2,𢞏,憂也,kʰiuŋ
14,穹,3,焪,乾也,kʰiuŋ
14,穹,4,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,kʰiuŋ
14,穹,5,𦵡,上同（芎‧芎藭香草根曰芎藭苗曰蘪蕪似蛇牀）,kʰiuŋ
14,穹,6,匑,謹敬之皃,kʰiuŋ
14,穹,7,𥳎,𥳎籠也又去龍切,kʰiuŋ
15,窮,1,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,ɡiuŋ
15,窮,2,藭,芎藭,ɡiuŋ
15,窮,3,𥨪,羿所封國,ɡiuŋ
16,馮,1,馮,馮翊郡名又姓畢公髙之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,biuŋ
16,馮,2,堸,蟲室,biuŋ
16,馮,3,汎,浮也又孚劔切,biuŋ
16,馮,4,芃,草盛也又音蓬,biuŋ
16,馮,5,𨝭,姬姓之國,biuŋ
16,馮,6,渢,𢎞大聲也,biuŋ
16,馮,7,梵,木得風皃又防泛切,biuŋ
17,風,1,風,敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七,piuŋ
17,風,2,飌,古文（風‧敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七）,piuŋ
17,風,3,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝髙三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,piuŋ
17,風,4,猦,猦[母/𤝕]狀如猿逢人則叩頭小打便死得風還活出異物志,piuŋ
17,風,5,偑,地名,piuŋ
17,風,6,檒,檒梵聲也,piuŋ
17,風,7,𧆉,竹名出南海,piuŋ
18,豐,1,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷[空/隆]切八,pʰiuŋ
18,豐,2,酆,邑名亦姓左傳有狄相酆舒,pʰiuŋ
18,豐,3,蘴,蕪菁苗也,pʰiuŋ
18,豐,4,灃,水名在咸陽,pʰiuŋ
18,豐,5,寷,大屋,pʰiuŋ
18,豐,6,麷,煑麥,pʰiuŋ
18,豐,7,㒥,偓㒥仙人,pʰiuŋ
18,豐,8,㠦,山名,pʰiuŋ
19,充,1,充,美也塞也行也滿也昌終切七,tɕʰiuŋ
19,充,2,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉,tɕʰiuŋ
19,充,3,茺,茺蔚草也,tɕʰiuŋ
19,充,4,㤝,心動,tɕʰiuŋ
19,充,5,䘪,䘪襌衣也,tɕʰiuŋ
19,充,6,𪎽,黃色又音統,tɕʰiuŋ
19,充,7,㳘,水聲,tɕʰiuŋ
20,隆,1,隆,盛也豐也大也力中切六,liuŋ
20,隆,2,癃,病也亦作𤸇,liuŋ
20,隆,3,𪔳,鼓聲俗作𪔴,liuŋ
20,隆,4,窿,穹隆天勢俗加穴,liuŋ
20,隆,5,霳,豐隆雷師俗加雨,liuŋ
20,隆,6,㚅,多㚅礼天,liuŋ
21,空,1,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,kʰuŋ
