次序,小韻,反切,聲母,韻目,調,等,呼,韻母,IPA
1,東,德紅,端,東,平,一,開,東一,tuŋ
2,同,徒紅,定,東,平,一,開,東一,duŋ
3,中,陟弓,知,東,平,三,開,東三,ʈiuŋ
4,蟲,直弓,澄,東,平,三,開,東三,ɖiuŋ
5,終,職戎,章,東,平,三,開,東三,tɕiuŋ
6,忡,敕中,徹,東,平,三,開,東三,ʈʰiuŋ
7,崇,鋤弓,崇,東,平,三,開,東三,dʒiuŋ
8,嵩,息弓,心,東,平,三,開,東三,siuŋ
9,戎,如融,日,東,平,三,開,東三,ȵiuŋ
10,弓,居戎,見,東,平,三,開,東三,kiuŋ
11,融,以戎,以,東,平,三,開,東三,jiuŋ
12,雄,羽弓,云,東,平,三,開,東三,ɦiuŋ
13,瞢,莫中,明,東,平,三,開,東三,miuŋ
14,穹,去宮,溪,東,平,三,開,東三,kʰiuŋ
15,窮,渠弓,羣,東,平,三,開,東三,ɡiuŋ
16,馮,房戎,並,東,平,三,開,東三,biuŋ
17,風,方戎,幫,東,平,三,開,東三,piuŋ
18,豐,敷空,滂,東,平,三,開,東三,pʰiuŋ
19,充,昌終,昌,東,平,三,開,東三,tɕʰiuŋ
20,隆,力中,來,東,平,三,開,東三,liuŋ
21,空,苦紅,溪,東,平,一,開,東一,kʰuŋ
22,公,古紅,見,東,平,一,開,東一,kuŋ
23,蒙,莫紅,明,東,平,一,開,東一,muŋ
24,籠,盧紅,來,東,平,一,開,東一,luŋ
25,洪,戸公,匣,東,平,一,開,東一,ɦuŋ
26,叢,徂紅,從,東,平,一,開,東一,dzuŋ
27,翁,烏紅,影,東,平,一,開,東一,ʔuŋ
28,怱,倉紅,清,東,平,一,開,東一,tsʰuŋ
29,通,他紅,透,東,平,一,開,東一,tʰuŋ
30,葼,子紅,精,東,平,一,開,東一,tsuŋ
31,蓬,薄紅,並,東,平,一,開,東一,buŋ
32,烘,呼東,曉,東,平,一,開,東一,huŋ
33,㟅,五東,疑,東,平,一,開,東一,ŋuŋ
34,檧,蘇公,心,東,平,一,開,東一,suŋ
35,冬,都宗,端,冬,平,一,開,冬,tuoŋ
36,彤,徒冬,定,冬,平,一,開,冬,duoŋ
37,賨,藏宗,從,冬,平,一,開,冬,dzuoŋ
38,農,奴冬,泥,冬,平,一,開,冬,nuoŋ
39,攻,古冬,見,冬,平,一,開,冬,kuoŋ
40,䃔,戸冬,匣,冬,平,一,開,冬,ɦuoŋ
41,䃧,力冬,來,冬,平,一,開,冬,luoŋ
42,宗,作冬,精,冬,平,一,開,冬,tsuoŋ
43,鬆,私宗,心,冬,平,一,開,冬,suoŋ
44,炵,他冬,透,冬,平,一,開,冬,tʰuoŋ
45,鍾,職容,章,鍾,平,三,開,鍾,tɕioŋ
46,龍,力鍾,來,鍾,平,三,開,鍾,lioŋ
47,舂,書容,書,鍾,平,三,開,鍾,ɕioŋ
48,松,祥容,邪,鍾,平,三,開,鍾,zioŋ
49,𧘂,尺容,昌,鍾,平,三,開,鍾,tɕʰioŋ
50,容,餘封,以,鍾,平,三,開,鍾,jioŋ
51,封,府容,幫,鍾,平,三,開,鍾,pioŋ
52,胷,許容,曉,鍾,平,三,開,鍾,hioŋ
53,顒,魚容,疑,鍾,平,三,開,鍾,ŋioŋ
54,邕,於容,影,鍾,平,三,開,鍾,ʔioŋ
55,醲,女容,孃,鍾,平,三,開,鍾,ɳioŋ
56,重,直容,澄,鍾,平,三,開,鍾,ɖioŋ
57,從,疾容,從,鍾,平,三,開,鍾,dzioŋ
58,蹱,丑凶,徹,鍾,平,三,開,鍾,ʈʰioŋ
59,逢,符容,並,鍾,平,三,開,鍾,bioŋ
60,峯,敷容,滂,鍾,平,三,開,鍾,pʰioŋ
61,縱,即容,精,鍾,平,三,開,鍾,tsioŋ
62,茸,而容,日,鍾,平,三,開,鍾,ȵioŋ
63,蛩,渠容,羣,鍾,平,三,開,鍾,ɡioŋ
64,鱅,蜀庸,常,鍾,平,三,開,鍾,dʑioŋ
65,恭,九容,見,鍾,平,三,開,鍾,kioŋ
66,蜙,息恭,心,鍾,平,三,開,鍾,sioŋ
67,樅,七恭,清,鍾,平,三,開,鍾,tsʰioŋ
68,銎,曲恭,溪,鍾,平,三,開,鍾,kʰioŋ
69,江,古雙,見,江,平,二,開,江,koŋ
70,厖,莫江,明,江,平,二,開,江,moŋ
71,𦗳,女江,孃,江,平,二,開,江,ɳoŋ
72,囪,楚江,初,江,平,二,開,江,tʃʰoŋ
73,邦,博江,幫,江,平,二,開,江,poŋ
74,栙,下江,匣,江,平,二,開,江,ɦoŋ
75,胮,匹江,滂,江,平,二,開,江,pʰoŋ
76,瀧,吕江,來,江,平,二,開,江,loŋ
77,雙,所江,生,江,平,二,開,江,ʃoŋ
78,龐,薄江,並,江,平,二,開,江,boŋ
79,肛,許江,曉,江,平,二,開,江,hoŋ
80,胦,握江,影,江,平,二,開,江,ʔoŋ
81,腔,苦江,溪,江,平,二,開,江,kʰoŋ
82,幢,宅江,澄,江,平,二,開,江,ɖoŋ
83,憃,丑江,徹,江,平,二,開,江,ʈʰoŋ
84,樁,都江,知,江,平,二,開,江,ʈoŋ
85,㟅,五江,疑,江,平,二,開,江,ŋoŋ
86,淙,士江,崇,江,平,二,開,江,dʒoŋ
87,支,章移,章,支,平,三,開,支開,tɕie
88,移,弋支,以,支,平,三,開,支開,jie
89,爲,薳支,云,支,平,三,合,支合,ɦye
90,嬀,居爲,見,支B,平,三,合,支B合,kye
91,𪎮,許爲,曉,支B,平,三,合,支B合,hye
92,逶,於爲,影,支B,平,三,合,支B合,ʔye
93,糜,靡爲,明,支B,平,三,開,支B開,mie
94,隓,許規,曉,支A,平,三,合,支A合,hye
95,鬌,直垂,澄,支,平,三,合,支合,ɖye
96,𡍮,是爲,常,支,平,三,合,支合,dʑye
97,羸,力爲,來,支,平,三,合,支合,lye
98,吹,昌垂,昌,支,平,三,合,支合,tɕʰye
99,鈹,敷羈,滂,支B,平,三,開,支B開,pʰie
100,陂,彼爲,幫,支B,平,三,開,支B開,pie
101,隨,旬爲,邪,支,平,三,合,支合,zye
102,虧,去爲,溪,支B,平,三,合,支B合,kʰye
103,闚,去隨,溪,支A,平,三,合,支A合,kʰye
104,竒,渠羈,羣,支B,平,三,開,支B開,ɡie
105,祇,巨支,羣,支A,平,三,開,支A開,ɡie
106,犧,許羈,曉,支B,平,三,開,支B開,hie
107,㩻,去奇,溪,支B,平,三,開,支B開,kʰie
108,宜,魚羈,疑,支B,平,三,開,支B開,ŋie
109,皮,符羈,並,支B,平,三,開,支B開,bie
110,提,是支,常,支,平,三,開,支開,dʑie
111,兒,汝移,日,支,平,三,開,支開,ȵie
112,離,吕支,來,支,平,三,開,支開,lie
113,疵,疾移,從,支,平,三,開,支開,dzie
114,貲,即移,精,支,平,三,開,支開,tsie
115,羈,居宜,見,支B,平,三,開,支B開,kie
116,卑,府移,幫,支A,平,三,開,支A開,pie
117,陴,符支,並,支A,平,三,開,支A開,bie
118,䌳,式支,書,支,平,三,開,支開,ɕie
119,斯,息移,心,支,平,三,開,支開,sie
120,差,楚宜,初,支,平,三,開,支開,tʃʰie
121,摛,丑知,徹,支,平,三,開,支開,ʈʰie
122,彌,武移,明,支A,平,三,開,支A開,mie
123,雌,此移,清,支,平,三,開,支開,tsʰie
124,知,陟離,知,支,平,三,開,支開,ʈie
125,漪,於離,影,支B,平,三,開,支B開,ʔie
126,馳,直離,澄,支,平,三,開,支開,ɖie
127,眭,息爲,心,支,平,三,合,支合,sye
128,危,魚爲,疑,支B,平,三,合,支B合,ŋye
129,詑,香支,曉,支A,平,三,開,支A開,hie
130,釃,所宜,生,支,平,三,開,支開,ʃie
131,䪎,山垂,生,支,平,三,合,支合,ʃye
132,痿,人垂,日,支,平,三,合,支合,ȵye
133,厜,姊移,精,支,平,三,開,支開,tsie
134,𩓸,居隋,見,支A,平,三,合,支A合,kye
135,劑,遵爲,精,支,平,三,合,支合,tsye
136,衰,楚危,初,支,平,三,合,支合,tʃʰye
137,腄,竹垂,知,支,平,三,合,支合,ʈye
138,䮔,子垂,精,支,平,三,合,支合,tsye
139,眵,叱支,昌,支,平,三,開,支開,tɕʰie
140,齜,側宜,莊,支,平,三,開,支開,tʃie
141,𤿎,匹支,滂,支A,平,三,開,支A開,pʰie
142,䔺,悅吹,以,支,平,三,合,支合,jye
143,齹,士宜,崇,支,平,三,開,支開,dʒie
144,脂,旨夷,章,脂,平,三,開,脂開,tɕiə
145,姨,以脂,以,脂,平,三,開,脂開,jiə
146,師,疏夷,生,脂,平,三,開,脂開,ʃiə
147,𣬈,房脂,並,脂A,平,三,開,脂A開,biə
148,咨,即夷,精,脂,平,三,開,脂開,tsiə
149,飢,居夷,見,脂B,平,三,開,脂B開,kiə
150,鴟,處脂,昌,脂,平,三,開,脂開,tɕʰiə
151,絺,丑飢,徹,脂,平,三,開,脂開,ʈʰiə
152,郪,取私,清,脂,平,三,開,脂開,tsʰiə
153,茨,疾資,從,脂,平,三,開,脂開,dziə
154,尼,女夷,孃,脂,平,三,開,脂開,ɳiə
155,墀,直尼,澄,脂,平,三,開,脂開,ɖiə
156,私,息夷,心,脂,平,三,開,脂開,siə
157,尸,式之,書,脂,平,三,開,脂開,ɕiə
158,鬐,渠脂,羣,脂B,平,三,開,脂B開,ɡiə
159,伊,於脂,影,脂A,平,三,開,脂A開,ʔiə
160,棃,力脂,來,脂,平,三,開,脂開,liə
161,葵,渠隹,羣,脂A,平,三,合,脂A合,ɡyə
162,追,陟隹,知,脂,平,三,合,脂合,ʈyə
163,龜,居追,見,脂B,平,三,合,脂B合,kyə
164,蕤,儒隹,日,脂,平,三,合,脂合,ȵyə
165,衰,所追,生,脂,平,三,合,脂合,ʃyə
166,惟,以追,以,脂,平,三,合,脂合,jyə
167,㶟,力追,來,脂,平,三,合,脂合,lyə
168,綏,息遺,心,脂,平,三,合,脂合,syə
169,逵,渠追,羣,脂B,平,三,合,脂B合,ɡyə
170,眉,武悲,明,脂B,平,三,開,脂B開,miə
171,悲,府眉,幫,脂B,平,三,開,脂B開,piə
172,錐,職追,章,脂,平,三,合,脂合,tɕyə
173,誰,視隹,常,脂,平,三,合,脂合,dʑyə
174,帷,洧悲,云,脂,平,三,合,脂合,ɦyə
175,邳,符悲,並,脂B,平,三,開,脂B開,biə
176,丕,敷悲,滂,脂B,平,三,開,脂B開,pʰiə
177,倠,許維,曉,脂A,平,三,合,脂A合,hyə
178,鎚,直追,澄,脂,平,三,合,脂合,ɖyə
179,推,叉隹,昌,脂,平,三,合,脂合,tɕʰyə
180,胝,丁尼,知,脂,平,三,開,脂開,ʈiə
181,紕,匹夷,滂,脂A,平,三,開,脂A開,pʰiə
182,嶉,醉綏,精,脂,平,三,合,脂合,tsyə
183,巋,丘追,溪,脂B,平,三,合,脂B合,kʰyə
184,狋,牛肌,疑,脂B,平,三,開,脂B開,ŋiə
185,咦,喜夷,曉,脂A,平,三,開,脂A開,hiə
186,之,止而,章,之,平,三,開,之,tɕi
187,飴,與之,以,之,平,三,開,之,ji
188,時,市之,常,之,平,三,開,之,dʑi
189,疑,語其,疑,之,平,三,開,之,ŋi
190,思,息兹,心,之,平,三,開,之,si
191,輜,楚持,初,之,平,三,開,之,tʃʰi
192,其,渠之,羣,之,平,三,開,之,ɡi
193,詩,書之,書,之,平,三,開,之,ɕi
194,而,如之,日,之,平,三,開,之,ȵi
195,欺,去其,溪,之,平,三,開,之,kʰi
196,姬,居之,見,之,平,三,開,之,ki
197,詞,似兹,邪,之,平,三,開,之,zi
198,釐,里之,來,之,平,三,開,之,li
199,葘,側持,莊,之,平,三,開,之,tʃi
200,僖,許其,曉,之,平,三,開,之,hi
201,醫,於其,影,之,平,三,開,之,ʔi
202,癡,丑之,徹,之,平,三,開,之,ʈʰi
203,治,直之,澄,之,平,三,開,之,ɖi
204,蚩,赤之,昌,之,平,三,開,之,tɕʰi
205,慈,疾之,從,之,平,三,開,之,dzi
206,兹,子之,精,之,平,三,開,之,tsi
207,茬,士之,崇,之,平,三,開,之,dʒi
208,漦,俟甾,俟,之,平,三,開,之,ʒi
209,抾,丘之,溪,之,平,三,開,之,kʰi
210,䀵,式其,書,之,平,三,開,之,ɕi
211,微,無非,明,微,平,三,合,微合,myɨ
212,揮,許歸,曉,微,平,三,合,微合,hyɨ
213,幃,雨非,云,微,平,三,合,微合,ɦyɨ
214,霏,芳非,滂,微,平,三,合,微合,pʰyɨ
215,猆,甫微,幫,微,平,三,合,微合,pyɨ
216,肥,符非,並,微,平,三,合,微合,byɨ
217,威,於非,影,微,平,三,合,微合,ʔyɨ
218,祈,渠希,羣,微,平,三,開,微開,ɡiɨ
219,機,居依,見,微,平,三,開,微開,kiɨ
220,希,香衣,曉,微,平,三,開,微開,hiɨ
221,依,於希,影,微,平,三,開,微開,ʔiɨ
222,沂,魚衣,疑,微,平,三,開,微開,ŋiɨ
223,巍,語韋,疑,微,平,三,合,微合,ŋyɨ
224,歸,舉韋,見,微,平,三,合,微合,kyɨ
225,蘬,丘韋,溪,微,平,三,合,微合,kʰyɨ
226,魚,語居,疑,魚,平,三,開,魚,ŋio
227,初,楚居,初,魚,平,三,開,魚,tʃʰio
228,書,傷魚,書,魚,平,三,開,魚,ɕio
229,居,九魚,見,魚,平,三,開,魚,kio
230,渠,強魚,羣,魚,平,三,開,魚,ɡio
231,余,以諸,以,魚,平,三,開,魚,jio
232,胥,相居,心,魚,平,三,開,魚,sio
233,疽,七余,清,魚,平,三,開,魚,tsʰio
234,鉏,士魚,崇,魚,平,三,開,魚,dʒio
235,攄,丑居,徹,魚,平,三,開,魚,ʈʰio
236,䟽,所葅,生,魚,平,三,開,魚,ʃio
237,虚,朽居,曉,魚,平,三,開,魚,hio
238,徐,似魚,邪,魚,平,三,開,魚,zio
239,於,央居,影,魚,平,三,開,魚,ʔio
240,豬,陟魚,知,魚,平,三,開,魚,ʈio
241,臚,力居,來,魚,平,三,開,魚,lio
242,諸,章魚,章,魚,平,三,開,魚,tɕio
243,除,直魚,澄,魚,平,三,開,魚,ɖio
244,如,人諸,日,魚,平,三,開,魚,ȵio
245,且,子魚,精,魚,平,三,開,魚,tsio
246,虚,去魚,溪,魚,平,三,開,魚,kʰio
247,菹,側魚,莊,魚,平,三,開,魚,tʃio
248,蜍,署魚,常,魚,平,三,開,魚,dʑio
249,袽,女余,孃,魚,平,三,開,魚,ɳio
250,虞,遇俱,疑,虞,平,三,合,虞,ŋyo
251,芻,測隅,初,虞,平,三,合,虞,tʃʰyo
252,無,武夫,明,虞,平,三,合,虞,myo
253,于,羽俱,云,虞,平,三,合,虞,ɦyo
254,訏,況于,曉,虞,平,三,合,虞,hyo
255,衢,其俱,羣,虞,平,三,合,虞,ɡyo
256,儒,人朱,日,虞,平,三,合,虞,ȵyo
257,須,相俞,心,虞,平,三,合,虞,syo
258,株,陟輸,知,虞,平,三,合,虞,ʈyo
259,貙,敕俱,徹,虞,平,三,合,虞,ʈʰyo
260,殊,市朱,常,虞,平,三,合,虞,dʑyo
261,逾,羊朱,以,虞,平,三,合,虞,jyo
262,區,豈俱,溪,虞,平,三,合,虞,kʰyo
263,朱,章俱,章,虞,平,三,合,虞,tɕyo
264,趨,七逾,清,虞,平,三,合,虞,tsʰyo
265,慺,力朱,來,虞,平,三,合,虞,lyo
266,扶,防無,並,虞,平,三,合,虞,byo
267,䅳,仕于,崇,虞,平,三,合,虞,dʒyo
268,㑳,莊俱,莊,虞,平,三,合,虞,tʃyo
269,敷,芳無,滂,虞,平,三,合,虞,pʰyo
270,諏,子于,精,虞,平,三,合,虞,tsyo
271,跗,甫無,幫,虞,平,三,合,虞,pyo
272,紆,憶俱,影,虞,平,三,合,虞,ʔyo
273,輸,式朱,書,虞,平,三,合,虞,ɕyo
274,樞,昌朱,昌,虞,平,三,合,虞,tɕʰyo
275,廚,直誅,澄,虞,平,三,合,虞,ɖyo
276,拘,舉朱,見,虞,平,三,合,虞,kyo
277,毹,山芻,生,虞,平,三,合,虞,ʃyo
278,模,莫胡,明,模,平,一,開,模,mu
279,酺,薄胡,並,模,平,一,開,模,bu
280,胡,戸吳,匣,模,平,一,開,模,ɦu
281,孤,古胡,見,模,平,一,開,模,ku
282,徒,同都,定,模,平,一,開,模,du
283,奴,乃都,泥,模,平,一,開,模,nu
284,呼,荒烏,曉,模,平,一,開,模,hu
285,吾,五乎,疑,模,平,一,開,模,ŋu
286,租,則吾,精,模,平,一,開,模,tsu
287,盧,落胡,來,模,平,一,開,模,lu
288,蘇,素姑,心,模,平,一,開,模,su
289,徂,昨胡,從,模,平,一,開,模,dzu
290,烏,哀都,影,模,平,一,開,模,ʔu
291,逋,博孤,幫,模,平,一,開,模,pu
292,枯,苦胡,溪,模,平,一,開,模,kʰu
293,麤,倉胡,清,模,平,一,開,模,tsʰu
294,㻌,他胡,透,模,平,一,開,模,tʰu
295,都,當孤,端,模,平,一,開,模,tu
296,𥠵,普胡,滂,模,平,一,開,模,pʰu
297,齊,徂奚,從,齊,平,四,開,齊開,dzei
298,黎,郎奚,來,齊,平,四,開,齊開,lei
299,妻,七稽,清,齊,平,四,開,齊開,tsʰei
300,低,都奚,端,齊,平,四,開,齊開,tei
301,嗁,杜奚,定,齊,平,四,開,齊開,dei
302,豍,邊兮,幫,齊,平,四,開,齊開,pei
303,雞,古奚,見,齊,平,四,開,齊開,kei
304,奚,胡雞,匣,齊,平,四,開,齊開,ɦei
305,鷖,烏奚,影,齊,平,四,開,齊開,ʔei
306,倪,五稽,疑,齊,平,四,開,齊開,ŋei
307,醯,呼雞,曉,齊,平,四,開,齊開,hei
308,西,先稽,心,齊,平,四,開,齊開,sei
309,梯,土雞,透,齊,平,四,開,齊開,tʰei
310,鼙,部迷,並,齊,平,四,開,齊開,bei
311,磇,匹迷,滂,齊,平,四,開,齊開,pʰei
312,齎,祖稽,精,齊,平,四,開,齊開,tsei
313,迷,莫兮,明,齊,平,四,開,齊開,mei
314,泥,奴低,泥,齊,平,四,開,齊開,nei
315,谿,苦奚,溪,齊,平,四,開,齊開,kʰei
316,圭,古攜,見,齊,平,四,合,齊合,kuei
317,睽,苦圭,溪,齊,平,四,合,齊合,kʰuei
318,攜,戸圭,匣,齊,平,四,合,齊合,ɦuei
319,臡,人兮,日,齊,平,四,開,齊開,ȵei
320,栘,成臡,常,齊,平,四,開,齊開,dʑei
