韻母,韻系,等,呼,IPA,韻母-入声,IPA-入声
歌,歌,一,開,ɑ,,
戈一合,戈,一,合,uɑ,,
戈三開,戈,三,開,iɑ,,
戈三合,戈,三,合,yɑ,,
寒,寒,一,開,ɑn,曷,ɑt
桓,桓,一,合,uɑn,末,uɑt
元開,元,三,開,iɑn,月開,iɑt
元合,元,三,合,yɑn,月合,yɑt
唐開,唐,一,開,ɑŋ,鐸開,ɑk
唐合,唐,一,合,uɑŋ,鐸合,uɑk
陽開,陽,三,開,iɑŋ,藥開,iɑk
陽合,陽,三,合,yɑŋ,藥合,yɑk
談,談,一,開,ɑm,盍,ɑp
嚴,嚴,三,開,iɑm,業,iɑp
凡,凡,三,合,yɑm,乏,yɑp
夬開,夬,二,開,ɑi,,
夬合,夬,二,合,uɑi,,
廢開,廢,三,開,iɑi,,
廢合,廢,三,合,yɑi,,
豪,豪,一,開,ɑu,,
麻二開,麻,二,開,a,,
麻二合,麻,二,合,ua,,
麻三開,麻,三,開,ia,,
刪開,刪,二,開,an,黠開,at
刪合,刪,二,合,uan,黠合,uat
庚二開,庚,二,開,aŋ,陌二開,ak
庚二合,庚,二,合,uaŋ,陌二合,uak
庚三開,庚,三,開,iaŋ,陌三開,iak
庚三合,庚,三,合,yaŋ,陌三合,yak
銜,銜,二,開,am,狎,ap
皆開,皆,二,開,ai,,
皆合,皆,二,合,uai,,
肴,肴,二,開,au,,
之,之,三,開,i,,
微開,微,三,開,iɨ,,
微合,微,三,合,yɨ,,
眞開,眞,三,開,in,質開,it
臻,臻,三,開,iɨn,櫛,iɨt
眞合,眞,三,合,yn,質合,yt
諄,諄,三,合,yɨn,術,yɨt
蒸,蒸,三,開,iŋ,職開,ik
蒸,蒸,三,合,,職合,yk
侵,侵,三,開,im,緝,ip
脂開,脂,三,開,iə,,
脂合,脂,三,合,yə,,
痕,痕,一,開,ən,麧,ət
魂,魂,一,合,uən,沒,uət
欣,欣,三,開,iən,迄,iət
文,文,三,合,yən,物,yət
登開,登,一,開,əŋ,德開,ək
登合,登,一,合,uəŋ,德合,uək
覃,覃,一,開,əm,合,əp
咍,咍,一,開,əi,,
灰,灰,一,合,uəi,,
侯,侯,一,開,əu,,
幽,幽,三,開,iəu,,
魚,魚,三,開,io,,
虞,虞,三,合,yo,,
江,江,二,開,oŋ,覺,ok
冬,冬,一,開,uoŋ,沃,uok
鍾,鍾,三,開,ioŋ,燭,iok
泰開,泰,一,開,oi,,
泰合,泰,一,合,uoi,,
模,模,一,開,u,,
東一,東,一,開,uŋ,屋一,uk
東三,東,三,開,iuŋ,屋三,iuk
尤,尤,三,開,iu,,
佳開,佳,二,開,e,,
佳合,佳,二,合,ue,,
支開,支,三,開,ie,,
支合,支,三,合,ye,,
山開,山,二,開,en,鎋開,et
山合,山,二,合,uen,鎋合,uet
仙開,仙,三,開,ien,薛開,iet
仙合,仙,三,合,yen,薛合,yet
耕開,耕,二,開,eŋ,麥開,ek
耕合,耕,二,合,ueŋ,麥合,uek
清開,清,三,開,ieŋ,昔開,iek
清合,清,三,合,yeŋ,昔合,yek
咸,咸,二,開,em,洽,ep
鹽,鹽,三,開,iem,葉,iep
齊開,齊,四,開,ei,,
齊合,齊,四,合,uei,,
祭開,祭,三,開,iei,,
祭合,祭,三,合,yei,,
先開,先,四,開,ein,屑開,eit
先合,先,四,合,uein,屑合,ueit
青開,青,四,開,eiŋ,錫開,eik
青合,青,四,合,ueiŋ,錫合,ueik
添,添,四,開,eim,怗,eip
蕭,蕭,四,開,eu,,
宵,宵,三,開,ieu,,
