词,类,翻译,描述,例句,说明
Usa,实体,美国,国家（G20）、联合国安理会常任理事国（P5）,,United States /juˌnaɪtɪd ˈsteɪts/
Jowguo,实体,中国,国家（G20）、联合国安理会常任理事国（P5）,,中国 /ʈ͡ʂʊŋ˥ kwɔ˧˥/
Balitaw,实体,英国,国家（G20）、联合国安理会常任理事国（P5）,,United Kingdom /juˌnaɪtɪd ˈkɪŋdəm/
Farawsa,实体,法国,国家（G20）、联合国安理会常任理事国（P5）,,France /fʁɑ̃s/
Lasia,实体,俄罗斯,国家（G20）、联合国安理会常任理事国（P5）,,Россия /rɐˈsʲijə/
Uye,实体,欧盟,跨国家的制度性联合体（G20）,,Union européenne /ynjɔ̃n øʁɔpeɛn/
Balata,实体,印度国,国家（G20）,,भारत /ˈbʱaːɾət̪/
Nihow,实体,日本国,国家（G20）,,日本 /ɲihoɴ/
Doyica,实体,德国,国家（G20）,,Deutschland /ˈdɔʏtʃlant/
Hawguka,实体,韩国,国家（G20）,,한국 /ha̠nɡuk̚/
Italia,实体,意大利,国家（G20）,,Italia /iˈtaːlja/
Kanada,实体,加拿大,国家（G20）,,Canada /ˈkænədə/
Tikie,实体,土耳其,国家（G20）,,Türkiye /tyɾcije/
Mehiko,实体,墨西哥,国家（G20）,,México /ˈmexiko/
Baziu,实体,巴西,国家（G20）,,Brasil /bɾaˈziw/
Ahewtina,实体,阿根廷,国家（G20）,,Argentina /aɾxenˈtina/
Ayusatalia,实体,澳大利亚,国家（G20）,,Australia /əˈstɹæɪljə/
Indonesia,实体,印度尼西亚,国家（G20）,,Indonesia /indɔˈnesia/
Asurudia,实体,沙特阿拉伯,国家（G20）,,السعودية /as.su.ʕuː.dij.ja/
Suiyafika,实体,南非,国家（G20）,,Suid-Afrika /səitˈafrikɑː/
Siqapula,实体,新加坡,国家,,Singapura /siŋaˈpura/
Ilaw,实体,伊朗,国家,,ایران /ʔiːˈɾɒːn/
Isahe,实体,以色列,国家,,ישראל /jisʁaˈʔel/
Ukayina,实体,乌克兰,国家,,Україна /ukrɐˈjinɐ/
Vietanaw,实体,越南,国家,,Việt Nam /viət̚˧˨ʔ naːm˧˧/
Palatetayi,实体,泰国,国家,,ประเทศไทย /pra˨˩.tʰeːt̚˥˩.tʰaj˧/
Pakisataw,实体,巴基斯坦,国家,,پاکستان /paːkɪsˈtaːn/
Nayijialia,实体,尼日利亚,国家,,Nigeria /naɪˈdʒɪəriə/
Savayica,实体,瑞士,国家,,Schweiz /ʃvaɪts/
Neda,实体,荷兰,国家,,Nederland /ˈneːdərlɑnt/
Suelie,实体,瑞典,国家,,Sverige /ˈsværjɛ/
Noga,实体,挪威,国家,,Norge /ˈnɔrɡə/
Masala,实体,埃及,国家,,مصر /mɑsˤɾ/
Beyijiw,实体,北京,城市,,北京 /peɪ̯˨˩˦ t͡ɕiŋ˥/
Sawhayi,实体,上海,城市,,上海 /ʂɑŋ˥˩ xaɪ̯˨˩˦/
Hawjoyu,实体,杭州,城市,,杭州 /xɑŋ˧˥ ʈ͡ʂoʊ˥/
Hohahota,实体,Hohhot、呼和浩特,城市,,Хөх хот /ˈxɵx xɔtʰ/
Mowgo,实体,Монгол (Mongol)、蒙古,文明区域,,Монгол /mɔŋɢɔɮ/
Guawjoyu,实体,广州,城市,,广州 /kwɑŋ˨˩˦ ʈ͡ʂoʊ˥/
Asia,实体,亚洲,七大洲之一,,取现代国际通用名 Asia；经典古典来源通常上溯至古希腊语 Asía /aˈsi.a/。
Eyulope,实体,欧洲,七大洲之一,,对应国际通用名 Europe；古典源头通常记作古希腊语 Eurōpē /eu̯.rɔ̌ː.pɛː/。
Afika,实体,非洲,七大洲之一,,对应国际通用名 Africa；直接古典来源通常记作拉丁语 Africa /ˈa.frɪ.ka/。
Palia Amelika,实体,北美洲,七大洲之一,,用方位词 Palia“北方”加专名 Amelika 组合；对应 North America /ˌnɔɹθ əˈmɛɹɪkə/。
Malia Amelika,实体,南美洲,七大洲之一,,用方位词 Malia“南方”加专名 Amelika 组合；对应 South America /ˌsaʊθ əˈmɛɹɪkə/。
Awtakatika,实体,南极洲,七大洲之一,,对应国际通用名 Antarctica；来源属于希腊语到拉丁语传统中的“与北极相对之地”，英语名作 Antarctica /ænˈtɑɹ(k)tɪkə/。
Ayusatalisa,实体,澳洲；澳大利亚洲,七大洲之一,,以拉丁语 australis /ausˈtraː.lis/ 为来源同化而成；与国家名 Ayusatalia“澳大利亚”区分。
